steps,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
1,0.7514416575431824,0.4980083703994751,1.241729974746704,0.6685141921043396,0.6116639375686646,0.7559767961502075,0.6377773880958557,0.6883273720741272,0.6426034569740295,0.5188382863998413
2,0.345019668340683,0.17304523289203644,0.5184424519538879,0.3095107972621918,0.32039976119995117,0.263047993183136,0.193973571062088,0.2570090889930725,0.23366977274417877,0.25540217757225037
3,0.2927910387516022,0.11502454429864883,0.409584641456604,0.2567283511161804,0.22327017784118652,0.1776699721813202,0.13112519681453705,0.17471827566623688,0.20095306634902954,0.19401873648166656
4,0.24312956631183624,0.09256670624017715,0.3654259443283081,0.21251876652240753,0.17744317650794983,0.1392907053232193,0.10305378586053848,0.13618908822536469,0.17294897139072418,0.15709738433361053
5,0.2233607918024063,0.09311695396900177,0.32544565200805664,0.19116230309009552,0.15891224145889282,0.10786627978086472,0.08811116218566895,0.12715820968151093,0.15472979843616486,0.13846200704574585
6,0.18629586696624756,0.08190198987722397,0.31742990016937256,0.17888285219669342,0.145989790558815,0.10064274817705154,0.07634840905666351,0.11553433537483215,0.14275464415550232,0.11572034657001495
7,0.1690489649772644,0.07551503926515579,0.29041415452957153,0.17236419022083282,0.1360243856906891,0.08400988578796387,0.06889016181230545,0.1050935760140419,0.13756756484508514,0.11369086802005768
8,0.16722919046878815,0.07940132915973663,0.2800607681274414,0.15471425652503967,0.1311357617378235,0.07709089666604996,0.07224926352500916,0.10055559873580933,0.1252264380455017,0.10426771640777588
9,0.15071679651737213,0.07519267499446869,0.2592782974243164,0.1541263461112976,0.12495484948158264,0.0705772414803505,0.06748726963996887,0.10112296789884567,0.1281217783689499,0.09836810827255249
10,0.14995616674423218,0.06969732791185379,0.254593163728714,0.14338719844818115,0.12344291806221008,0.07206857204437256,0.05993778258562088,0.0973048210144043,0.1131528839468956,0.09479518979787827
