steps,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
1,1.924376130104065,2.676476001739502,2.7003238201141357,2.1247687339782715,2.119241237640381,2.1201417446136475,1.984960913658142,2.3221757411956787,1.9185925722122192,1.9621590375900269
2,1.75881028175354,2.2448034286499023,2.259990692138672,1.8139938116073608,1.9200811386108398,1.7290561199188232,1.5975046157836914,1.8827253580093384,1.7443453073501587,1.8241416215896606
3,1.5865174531936646,2.0622828006744385,2.097233533859253,1.771561861038208,1.7024857997894287,1.5917505025863647,1.438995599746704,1.7246983051300049,1.6683416366577148,1.6664152145385742
4,1.4989410638809204,1.972977876663208,2.0137784481048584,1.687530517578125,1.6404955387115479,1.5278139114379883,1.3666085004806519,1.659100890159607,1.598294973373413,1.6172672510147095
5,1.4416980743408203,2.003602981567383,1.9391018152236938,1.6321525573730469,1.581206202507019,1.462019443511963,1.2714048624038696,1.669653058052063,1.6048791408538818,1.5933676958084106
6,1.3468643426895142,1.9493582248687744,1.9552104473114014,1.6518956422805786,1.5505765676498413,1.4740097522735596,1.2273614406585693,1.6202476024627686,1.5546133518218994,1.5080070495605469
7,1.3071085214614868,1.9040197134017944,1.8871182203292847,1.664142370223999,1.5364437103271484,1.453134536743164,1.2076510190963745,1.5846208333969116,1.5546585321426392,1.5319668054580688
8,1.2794883251190186,1.9565232992172241,1.881882667541504,1.5906555652618408,1.5095816850662231,1.4373586177825928,1.1874150037765503,1.5873491764068604,1.525319218635559,1.481866478919983
9,1.2367275953292847,1.932566523551941,1.8102892637252808,1.6004860401153564,1.5538091659545898,1.428299903869629,1.193846344947815,1.613495945930481,1.546870470046997,1.4613207578659058
10,1.254064679145813,1.9118924140930176,1.8040269613265991,1.611954689025879,1.515105962753296,1.381319284439087,1.1411125659942627,1.613370656967163,1.5065375566482544,1.4571726322174072
