timestep,mean_clip_score,mean_lpips
1000.0000,0.381370,0.543806
998.0000,0.381370,0.543806
996.0000,0.377303,0.513758
994.0000,0.376706,0.497066
992.0000,0.376706,0.497066
990.0000,0.376706,0.497066
988.0000,0.374643,0.489316
986.0000,0.371695,0.486506
984.0000,0.371954,0.485751
982.0000,0.371954,0.485751
980.0000,0.368598,0.486911
978.0000,0.365426,0.492420
976.0000,0.365426,0.492420
974.0000,0.365426,0.492420
972.0000,0.364763,0.493228
970.0000,0.360412,0.500460
968.0000,0.360412,0.500460
966.0000,0.360412,0.500460
964.0000,0.358215,0.506552
962.0000,0.357024,0.509282
960.0000,0.357024,0.509282
958.0000,0.357024,0.509282
956.0000,0.355344,0.512359
954.0000,0.351304,0.518996
952.0000,0.351304,0.518996
950.0000,0.351304,0.518996
948.0000,0.350002,0.524357
946.0000,0.349790,0.526844
944.0000,0.349790,0.526844
942.0000,0.349790,0.526844
940.0000,0.347467,0.529858
938.0000,0.344608,0.536327
936.0000,0.344608,0.536327
934.0000,0.344608,0.536327
932.0000,0.342991,0.540495
930.0000,0.340992,0.544426
928.0000,0.340888,0.543806
926.0000,0.340888,0.543806
924.0000,0.341299,0.545821
922.0000,0.338701,0.548479
920.0000,0.338701,0.548479
918.0000,0.338701,0.548479
916.0000,0.336406,0.550906
914.0000,0.334894,0.557979
912.0000,0.334894,0.557979
910.0000,0.334894,0.557979
908.0000,0.329422,0.563081
906.0000,0.319568,0.567235
904.0000,0.319568,0.567235
902.0000,0.319531,0.566747
900.0000,0.315766,0.572533
898.0000,0.311115,0.578582
896.0000,0.311115,0.578582
894.0000,0.311115,0.578582
892.0000,0.305960,0.582308
890.0000,0.298364,0.586026
888.0000,0.298364,0.586026
886.0000,0.298364,0.586026
884.0000,0.298521,0.587398
882.0000,0.290583,0.589827
880.0000,0.290583,0.589827
878.0000,0.290583,0.589827
876.0000,0.291480,0.589343
874.0000,0.286869,0.594195
872.0000,0.286869,0.594195
870.0000,0.286869,0.594195
868.0000,0.287502,0.596695
866.0000,0.283627,0.596524
864.0000,0.283627,0.596524
862.0000,0.283627,0.596524
860.0000,0.283472,0.597024
858.0000,0.283382,0.597539
856.0000,0.283382,0.597539
854.0000,0.282704,0.596993
852.0000,0.275560,0.600334
850.0000,0.275723,0.599482
848.0000,0.275723,0.599482
846.0000,0.275723,0.599482
844.0000,0.271206,0.598029
842.0000,0.263003,0.600439
840.0000,0.263003,0.600439
838.0000,0.263003,0.600439
836.0000,0.269212,0.602780
834.0000,0.264884,0.600499
832.0000,0.264884,0.600499
830.0000,0.265682,0.599888
828.0000,0.252762,0.601553
826.0000,0.258975,0.599834
824.0000,0.258975,0.599834
822.0000,0.258975,0.599834
820.0000,0.244589,0.600863
818.0000,0.251925,0.602139
816.0000,0.251925,0.602139
814.0000,0.251925,0.602139
812.0000,0.240174,0.604566
810.0000,0.237334,0.603552
808.0000,0.237920,0.603047
806.0000,0.237920,0.603047
804.0000,0.235380,0.606047
